2026-06-06T16:45:38.361Z	INFO	livekit	server/main.go:210	starting in development mode
2026-06-06T16:45:38.362Z	INFO	livekit	routing/interfaces.go:180	using single-node routing
2026-06-06T16:45:58.201Z	DEBUG	livekit	service/rtcservice.go:460	sending initial response	{"connID": "CO_TQkK52BCmoi5", "response": {"join": {"room": {"sid": "RM_rfAdT3WtDG6H", "name": "omni-room", "emptyTimeout": 300, "departureTimeout": 20, "creationTime": 1780764358, "creationTimeMs": 1780764358197, "turnPassword": "bTQULe6qQQTahM42q2PSweubaUttBW0TeUHphqjGU6RB", "enabledCodecs": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}]}, "participant": {"sid": "PA_wsxJ8PufS7cW", "identity": "omni-worker", "state": "JOINING", "joinedAt": 1780764358, "joinedAtMs": 1780764358198, "name": "<redacted>", "permission": {"canSubscribe": true, "canPublish": true, "canPublishData": true}, "kind": "STANDARD", "disconnectReason": "UNKNOWN_REASON", "clientProtocol": 1}, "serverVersion": "1.12.0", "iceServers": [{"urls": ["stun:global.stun.twilio.com:3478", "stun:stun.l.google.com:19302", "stun:stun1.l.google.com:19302"]}], "subscriberPrimary": true, "pingTimeout": 15, "pingInterval": 5, "serverInfo": {"edition": "Standard", "version": "1.12.0", "protocol": 17, "nodeID": "ND_qHuHvMePia4G", "agentProtocol": 1}, "sifTrailer": "RUZ0UUdPcXhoMmFuVEV3ZGxpalBNcVJMRGNzN1hMaU9sT0tEb3FrYUNhQg", "enabledPublishCodecs": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "fastPublish": true}}, "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.201Z	DEBUG	livekit	service/rtcservice.go:469	new client WS connected	{"connID": "CO_TQkK52BCmoi5", "reconnect": false, "reconnectReason": "RR_UNKNOWN", "adaptiveStream": false, "selectedNodeID": "ND_qHuHvMePia4G", "nodeSelectionReason": "", "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.202Z	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "response": {"refreshToken": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODA3NjQ5NTgsImlkZW50aXR5Ijoib21uaS13b3JrZXIiLCJpc3MiOiJkZXZrZXkiLCJraW5kIjoic3RhbmRhcmQiLCJuYW1lIjoib21uaS13b3JrZXIiLCJuYmYiOjE3ODA3NjQzNTgsInN1YiI6Im9tbmktd29ya2VyIiwidmlkZW8iOnsiY2FuUHVibGlzaCI6dHJ1ZSwiY2FuUHVibGlzaERhdGEiOnRydWUsImNhblN1YnNjcmliZSI6dHJ1ZSwicm9vbSI6Im9tbmktcm9vbSIsInJvb21Kb2luIjp0cnVlfX0.uZfOXDYHuUKoVNkPgHYHVYViYp7OQkfoEXPd_F7wuQk"}}
2026-06-06T16:45:58.202Z	DEBUG	livekit.transport	rtc/transport.go:812	ice gathering state change	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "SUBSCRIBER", "state": "gathering"}
2026-06-06T16:45:58.202Z	DEBUG	livekit	service/rtcservice.go:553	sending signal response	{"connID": "CO_TQkK52BCmoi5", "response": {"RefreshToken":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODA3NjQ5NTgsImlkZW50aXR5Ijoib21uaS13b3JrZXIiLCJpc3MiOiJkZXZrZXkiLCJraW5kIjoic3RhbmRhcmQiLCJuYW1lIjoib21uaS13b3JrZXIiLCJuYmYiOjE3ODA3NjQzNTgsInN1YiI6Im9tbmktd29ya2VyIiwidmlkZW8iOnsiY2FuUHVibGlzaCI6dHJ1ZSwiY2FuUHVibGlzaERhdGEiOnRydWUsImNhblN1YnNjcmliZSI6dHJ1ZSwicm9vbSI6Im9tbmktcm9vbSIsInJvb21Kb2luIjp0cnVlfX0.uZfOXDYHuUKoVNkPgHYHVYViYp7OQkfoEXPd_F7wuQk"}, "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.202Z	DEBUG	livekit.sub	rtc/participant.go:2173	sending offer	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "SUBSCRIBER", "offer": {"type":"offer","sdp":"v=0\r\no=- 5726795761738828293 1780764358 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 17:FE:6D:65:F6:33:35:01:7D:CD:C5:95:20:A9:93:53:6D:58:4E:2A:60:47:EB:98:37:64:2E:91:21:B6:3E:59\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:VzIATKwasDIfszrn\r\na=ice-pwd:geNgNvZtxDBBUrZdLhQKHViflpbuuxPb\r\n"}, "offerId": 41, "midToTrackID": {}}
2026-06-06T16:45:58.202Z	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "response": {"offer": {"type": "offer", "sdp": "v=0\r\no=- 5726795761738828293 1780764358 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 17:FE:6D:65:F6:33:35:01:7D:CD:C5:95:20:A9:93:53:6D:58:4E:2A:60:47:EB:98:37:64:2E:91:21:B6:3E:59\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:VzIATKwasDIfszrn\r\na=ice-pwd:geNgNvZtxDBBUrZdLhQKHViflpbuuxPb\r\n", "id": 41}}}
2026-06-06T16:45:58.203Z	DEBUG	livekit	service/rtcservice.go:513	sending offer	{"connID": "CO_TQkK52BCmoi5", "offer": {"Offer":{"type":"offer","sdp":"v=0\r\no=- 5726795761738828293 1780764358 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 17:FE:6D:65:F6:33:35:01:7D:CD:C5:95:20:A9:93:53:6D:58:4E:2A:60:47:EB:98:37:64:2E:91:21:B6:3E:59\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:VzIATKwasDIfszrn\r\na=ice-pwd:geNgNvZtxDBBUrZdLhQKHViflpbuuxPb\r\n","id":41}}, "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.203Z	DEBUG	livekit	rtc/participant_signal.go:228	sending ICE candidate	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "SUBSCRIBER", "trickle": {"candidateInit": "{\"candidate\":\"candidate:3053598923 1 udp 2130706431 172.26.0.2 7882 typ host ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}
2026-06-06T16:45:58.203Z	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "response": {"trickle": {"candidateInit": "{\"candidate\":\"candidate:3053598923 1 udp 2130706431 172.26.0.2 7882 typ host ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}}
2026-06-06T16:45:58.203Z	DEBUG	livekit	service/rtcservice.go:553	sending signal response	{"connID": "CO_TQkK52BCmoi5", "response": {"Trickle":{"candidateInit":"{\"candidate\":\"candidate:3053598923 1 udp 2130706431 172.26.0.2 7882 typ host ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}","target":1}}, "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.217Z	DEBUG	livekit	rtc/participant_signal.go:228	sending ICE candidate	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "SUBSCRIBER", "trickle": {"candidateInit": "{\"candidate\":\"candidate:200362283 1 tcp 1671430143 172.26.0.2 7881 typ host tcptype passive ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}
2026-06-06T16:45:58.217Z	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "response": {"trickle": {"candidateInit": "{\"candidate\":\"candidate:200362283 1 tcp 1671430143 172.26.0.2 7881 typ host tcptype passive ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}}
2026-06-06T16:45:58.218Z	DEBUG	livekit	service/rtcservice.go:553	sending signal response	{"connID": "CO_TQkK52BCmoi5", "response": {"Trickle":{"candidateInit":"{\"candidate\":\"candidate:200362283 1 tcp 1671430143 172.26.0.2 7881 typ host tcptype passive ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}","target":1}}, "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.220Z	DEBUG	livekit	rtc/participant_signal.go:228	sending ICE candidate	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "SUBSCRIBER", "trickle": {"candidateInit": "{\"candidate\":\"candidate:2762903700 1 udp 1694498815 195.26.233.55 50328 typ srflx raddr 0.0.0.0 rport 50328 ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}
2026-06-06T16:45:58.220Z	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "response": {"trickle": {"candidateInit": "{\"candidate\":\"candidate:2762903700 1 udp 1694498815 195.26.233.55 50328 typ srflx raddr 0.0.0.0 rport 50328 ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}}
2026-06-06T16:45:58.220Z	DEBUG	livekit	service/rtcservice.go:553	sending signal response	{"connID": "CO_TQkK52BCmoi5", "response": {"Trickle":{"candidateInit":"{\"candidate\":\"candidate:2762903700 1 udp 1694498815 195.26.233.55 50328 typ srflx raddr 0.0.0.0 rport 50328 ufrag VzIATKwasDIfszrn\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}","target":1}}, "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.224Z	DEBUG	livekit	service/rtcservice.go:613	received signal request	{"connID": "CO_TQkK52BCmoi5", "request": {"PingReq":{"timestamp":1780764358223}}, "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.224Z	DEBUG	livekit	signalling/signalhandler.go:55	handling signal request	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "request": {"pingReq": {"timestamp": 1780764358223}}}
2026-06-06T16:45:58.227Z	DEBUG	livekit	service/rtcservice.go:609	received offer	{"connID": "CO_TQkK52BCmoi5", "offer": {"Offer":{"type":"offer","sdp":"v=0\r\no=- 7895812936355037994 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=group:BUNDLE 0\r\na=extmap-allow-mixed\r\na=msid-semantic: WMS\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=ice-ufrag:2Uc6\r\na=ice-pwd:+2+1bdw92VlRToktkJyBbY3R\r\na=ice-options:trickle\r\na=fingerprint:sha-256 42:B4:72:45:44:A9:90:1C:26:8C:A8:7D:6F:0A:E1:CD:DC:1F:8B:B9:11:6B:F9:66:01:BF:80:DB:0A:C2:0B:A3\r\na=setup:actpass\r\na=mid:0\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n"}}, "room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms"}
2026-06-06T16:45:58.228Z	DEBUG	livekit	signalling/signalhandler.go:55	handling signal request	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "request": {"offer": {"type": "offer", "sdp": "v=0\r\no=- 7895812936355037994 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=group:BUNDLE 0\r\na=extmap-allow-mixed\r\na=msid-semantic: WMS\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=ice-ufrag:2Uc6\r\na=ice-pwd:+2+1bdw92VlRToktkJyBbY3R\r\na=ice-options:trickle\r\na=fingerprint:sha-256 42:B4:72:45:44:A9:90:1C:26:8C:A8:7D:6F:0A:E1:CD:DC:1F:8B:B9:11:6B:F9:66:01:BF:80:DB:0A:C2:0B:A3\r\na=setup:actpass\r\na=mid:0\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n"}}}
2026-06-06T16:45:58.228Z	DEBUG	livekit.pub	rtc/participant.go:1143	received offer	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "PUBLISHER", "offer": {"type":"offer","sdp":"v=0\r\no=- 7895812936355037994 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=group:BUNDLE 0\r\na=extmap-allow-mixed\r\na=msid-semantic: WMS\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=ice-ufrag:2Uc6\r\na=ice-pwd:+2+1bdw92VlRToktkJyBbY3R\r\na=ice-options:trickle\r\na=fingerprint:sha-256 42:B4:72:45:44:A9:90:1C:26:8C:A8:7D:6F:0A:E1:CD:DC:1F:8B:B9:11:6B:F9:66:01:BF:80:DB:0A:C2:0B:A3\r\na=setup:actpass\r\na=mid:0\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n"}, "offerId": 0}
2026-06-06T16:45:58.228Z	DEBUG	livekit.transport	rtc/transport.go:2817	processing offer	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "PUBLISHER", "offerId": 0}
2026-06-06T16:45:58.229Z	DEBUG	livekit.transport	rtc/transport.go:812	ice gathering state change	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "PUBLISHER", "state": "gathering"}
2026-06-06T16:45:58.229Z	DEBUG	livekit.transport	rtc/transport.go:843	ice connection state change	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "PUBLISHER", "state": "checking"}
2026-06-06T16:45:58.229Z	DEBUG	livekit.transport	rtc/transport.go:854	peer connection state change	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "transport": "PUBLISHER", "state": "connecting"}
